Winner_Name, Winner_Items, HP_Remaining, Opponent_Name, Opponent_Items
Carl Covington,Shield,17,Cressida Drake,Sword
Cassius Bradford,Shield,7,Cassian Harrow,Leather Boots
Artemis Harrington,Leather Boots,8,Briallen Beaumont,Sword
Gaius Mortimer,Shield,10,Seraphina Gresham,Sword
Helena Westbury,Sword,10,Constantine Sheffield,Leather Boots
Isolde Fitzwilliam,Shield,9,Valerius Chatham,Sword
Augustus Bradford,Leather Boots,3,Briallen Clayton,Shield
Elowen Standish,Shield,13,Octavius Chadwick,Leather Boots
Arabella Gresham,Shield,5,Evangeline Harper,Leather Boots
Cassius Warwick,Leather Boots,19,Artemis Wellington,Shield
Octavian Winslow,Shield,8,Isadora Whitaker,Sword
Helena Sanderson,Leather Boots,20,Cordelia Drake,Sword
Marcus Sheffield,Sword,1,Octavius Sheffield,Leather Boots
Maximus Holloway,Shield,6,Quintus Chatham,Leather Boots
Elowen Devereux,Sword,3,Cyprian Fairchild,Shield
Cassius Ellis,Leather Boots,2,Lavinia Davenport,Shield
Cressida Huntington,Sword,12,Eloise Clayton,Shield
Titania Pembroke,Shield,22,Gwendolyn Blackburn,Sword
Corbin Harper,Shield,4,Cassius Kingsley,Sword
Cyprian Pendragon,Leather Boots,1,Helena Ellis,Shield
Aurelian Windsor,Shield,4,Lysander Carleton,Sword
Septimus Carlyle,Leather Boots,2,Ginevra Hartley,Sword
Corin Manning,Sword,16,Gaius Fairfax,Shield
Seraphina Farleigh,Shield,10,Isolde Harrington,Leather Boots
Cyprian Addington,Shield,3,Leander Beaumont,Leather Boots
Thaddeus Covington,Shield,9,Lucian Whitfield,Leather Boots
Marcus Claybourne,Sword,27,Marcus Beauchamp,Leather Boots
Guinevere Lancaster,Sword,8,Aurelia Chadwick,Leather Boots
Octavius Huntington,Shield,1,Augustus Dunstable,Leather Boots
Isolde Stanhope,Sword,5,Seraphina Carleton,Leather Boots
Hadrian Carlisle,Leather Boots,17,Artemis Langford,Sword
Isolde Westcott,Leather Boots,9,Titus Meriwether,Sword
Hadrian Pendragon,Leather Boots,13,Lucinda Carleton,Sword
Guinevere Manning,Leather Boots,8,Lavinia Harper,Sword
Caius Merrick,Shield,6,Augustus Standish,Leather Boots
Octavius Stratton,Sword,6,Leocadia Wentworth,Shield
Cassia Hastings,Shield,2,Caius Whitmore,Leather Boots
Augustus Stratford,Shield,9,Lucian Fairchild,Sword
Briallen Channing,Sword,4,Euphemia Kingsley,Shield
Gaius Stanhope,Leather Boots,18,Elaine Sinclair,Sword
Gaius Harper,Leather Boots,7,Corbin Hawthorne,Shield
Tiberius Holloway,Sword,12,Cordelia Dunstan,Shield
Lucian Barlow,Leather Boots,7,Galen Fairfax,Shield
Lysander Whitaker,Shield,8,Orlando Rutherford,Sword
Corbin Fitzgerald,Leather Boots,13,Guinevere Westminster,Sword
Caius Bramblecroft,Leather Boots,3,Rowan Wycliffe,Sword
Rowena Lancaster,Sword,11,Junia Blackburn,Leather Boots
Carl Harrington,Sword,2,Lucian Redmond,Shield
Percival Carlton,Leather Boots,13,Lysander Monroe,Shield
Eloise Chaucer,Leather Boots,31,Isolde Hazelmere,Shield
Quintus Sheffield,Sword,10,Evangeline Wentworth,Shield
Quintus Beauchamp,Shield,16,Amara Fairchild,Sword
Hadrian Pendleton,Shield,5,Lyra Donovan,Sword
Cordelia Marston,Leather Boots,9,Leander Redcliffe,Shield
Aurelie Wentworth,Sword,7,Seraphina Harrington,Shield
Augustus Covington,Sword,19,Constantine Langdon,Shield
Remus Stratton,Sword,10,Seraphina Westminster,Shield
Marcus Westcott,Sword,3,Titus Barlow,Shield
Cressida Fitzwilliam,Sword,27,Lancelot Ellis,Shield
Theron Meriwether,Leather Boots,11,Quintus Fitzgerald,Shield
Cyprian Ellis,Sword,5,Aurelia Chamberlain,Leather Boots
Leander Thornton,Leather Boots,5,Guinevere Dunstan,Sword
Amara Bramblecroft,Sword,9,Tiberius Bellingham,Shield
Beatrice Lancaster,Leather Boots,14,Helena Langdon,Sword
Elaine Carleton,Shield,11,Gaius Wycliffe,Sword
Maximus Winslow,Sword,14,Junia Wycliffe,Shield
Percival Beauchamp,Shield,22,Euphemia Bradford,Sword
Aurelian Harper,Sword,10,Clementine Redmond,Leather Boots
Seraphina Last Name,Leather Boots,5,Seraphina Fitzwilliam,Shield
Ginevra Last Name,Leather Boots,4,Lysander Langley,Shield
Artemis Donovan,Shield,11,Cressida Chamberlain,Sword
Cornelius Blackburn,Leather Boots,3,Aurelia Kingsley,Sword
Titus Kingsley,Shield,3,Galen Whitfield,Sword
Cordelia Langley,Leather Boots,9,Lucian Hastings,Shield
Isadora Langley,Shield,1,Quintus Bradford,Leather Boots
Valerius Wellington,Shield,21,Benedict Westminster,Sword
Orlando Langford,Shield,21,Tiberius Llewellyn,Leather Boots
Constantine Redcliffe,Sword,3,Tiberius Chatham,Shield
Ambrose Warwick,Shield,10,Aurelia Withers,Sword
Cassius Pendragon,Shield,13,Caius Huntington,Leather Boots
Titania Wellington,Sword,3,Seraphina Gresham,Leather Boots
First Name Marston,Shield,2,Cassius Blackwood,Sword
Evangeline Chatham,Sword,9,Artemis Sanderson,Shield
Thaddeus Warwick,Sword,12,Rosamund Wentworth,Leather Boots
Evangeline Bradford,Shield,1,Aurelian Stanhope,Leather Boots
Quintus Winslow,Leather Boots,5,Euphemia Withers,Sword
Isadora Donovan,Sword,5,Orlando Montgomery,Leather Boots
Aurelia Claybourne,Leather Boots,8,Amara Carleton,Sword
Gaius Monroe,Sword,1,Marcellus Langley,Leather Boots
Beatrice Withers,Leather Boots,18,Arabella Stratton,Sword
Cressida Stratton,Sword,17,Percival Faraday,Leather Boots
Cordelia Chaucer,Shield,16,Giselle Claybourne,Leather Boots
Arabella Whitfield,Shield,17,Amara Harper,Leather Boots
Augustus Holloway,Leather Boots,14,Cyprian Windsor,Sword
Rosalind Blackwell,Sword,15,Remus Bellingham,Shield
Quintus Hazelmere,Leather Boots,13,Cordelia Westcott,Sword
Arabella Bradbury,Sword,2,Euphemia Monroe,Shield
Elowen Last Name,Shield,7,Percival Blackburn,Leather Boots
Hadrian Monroe,Sword,8,Isolde Warwick,Leather Boots
Leocadia Bellingham,Leather Boots,17,Seraphina Monroe,Shield
Hadrian Holloway,Sword,10,Cornelius Meriwether,Leather Boots
Leander Windsor,Leather Boots,20,Benedict Chadwick,Sword
Carl Chadwell,Shield,5,Isolde Fitzgerald,Sword
Cedric Langley,Sword,6,Ambrose Whitfield,Shield
Arabella Ellis,Leather Boots,6,Corin Clayton,Sword
Lucian Ashbourne,Shield,11,Rosamund Pendragon,Leather Boots
Titania Wycliffe,Shield,5,Helena Hastings,Sword
Julius Sinclair,Leather Boots,11,Daphne Wellford,Shield
Aurelia Chamberlain,Sword,3,Cassian Sinclair,Shield
Titania Davenport,Leather Boots,1,Percival Somerset,Sword
Galen Mortimer,Shield,13,Gawain Blackburn,Leather Boots
Caius Pendleton,Sword,7,Aveline Wycliffe,Leather Boots
Cordelia Wellington,Sword,25,Evangeline Stanhope,Leather Boots
Septimus Winslow,Leather Boots,17,Tiberius Hartley,Shield
Titania Chadwell,Shield,4,Cressida Arundel,Leather Boots
Evangeline Hazelmere,Shield,2,Helena Sinclair,Sword
Daphne Redcliffe,Shield,11,Artemis Chadwick,Sword
Lucius Bannister,Leather Boots,15,Briallen Kingsley,Sword
Clementine Carlton,Sword,5,Isolde Carlton,Leather Boots
Isolde Dunstan,Leather Boots,13,Ariadne Marlowe,Sword
Guinevere Stratford,Shield,14,Amara Marston,Sword
Isolde Harrow,Leather Boots,10,Cassius Mortimer,Shield
Marcus Montgomery,Leather Boots,13,Cassian Langdon,Sword
Cyprian Blackwood,Leather Boots,6,Lyra Hazelmere,Sword
Benedict Gresham,Leather Boots,10,Isolde Ashbourne,Shield
Isolde Fairfax,Leather Boots,4,Lucinda Hollingsworth,Shield
Cassian Mortimer,Shield,7,Seraphina Harrington,Leather Boots
Aurelia Wentworth,Sword,6,Rosamund Stanhope,Shield
Marcus Bradford,Sword,11,Aurelie Faraday,Shield
Octavian Pendleton,Sword,4,Lucius Sanderson,Shield
Eloise Merrick,Leather Boots,5,Lucius Carlisle,Shield
Elowen Pendleton,Leather Boots,1,Corbin Bradford,Sword
Helena Chadwell,Leather Boots,5,Perseus Pembroke,Sword
Caius Lancaster,Sword,2,Leander Fairchild,Shield
Lyra Donovan,Sword,19,Lavinia Ellis,Leather Boots
Caius Windsor,Shield,5,Lysander Huntington,Leather Boots
Helena Blackburn,Shield,5,Lucius Llewellyn,Leather Boots
Perseus Beaumont,Shield,20,Lucius Llewellyn,Sword
Corin Chadwell,Leather Boots,9,Evangeline Fitzwilliam,Shield
Cyprian Holloway,Sword,2,Aurelie Arundel,Shield
Lucinda Whitmore,Leather Boots,5,Gawain Huntington,Shield
Titus Stratton,Shield,9,Julius Mortimer,Sword
Gaius Standish,Sword,16,Junia Harrow,Leather Boots
Junia Blackwell,Leather Boots,7,Cedric Fairchild,Shield
Eleanor Rutherford,Sword,2,Corbin Fitzwilliam,Shield
Briallen Bradford,Sword,9,Gawain Monroe,Leather Boots
Cyprian Dunstable,Shield,7,Isolde Forrester,Sword
Galen Farleigh,Leather Boots,15,Cordelia Dunstan,Sword
Lucius Barlow,Shield,13,Felix Clayton,Sword
Maximus Rutherford,Leather Boots,7,Morgana Addington,Sword
Marcus Last Name,Leather Boots,9,Tiberius Bramblecroft,Shield
First Name Bannister,Leather Boots,18,Septimus Ellis,Shield
Corin Channing,Shield,6,Felix Drake,Leather Boots
Aurelia Westcott,Sword,24,Seraphina Monroe,Shield
Cassian Carlton,Sword,5,Ginevra Redmond,Leather Boots
Felix Carlisle,Sword,18,Quintus Merrick,Leather Boots
Cornelius Wellington,Leather Boots,4,Cornelius Whitaker,Shield
Elara Meriwether,Leather Boots,7,Gwendolyn Langley,Shield
Augustus Carlton,Leather Boots,7,Titus Somerset,Sword
Leon Monroe,Leather Boots,18,Caius Addington,Sword
Helena Sinclair,Sword,4,Carl Devereux,Shield
Cordelia Drake,Sword,11,Aurelius Beauchamp,Shield
Lavinia Bramblecroft,Leather Boots,3,Helena Arundel,Shield
Felix Barlow,Leather Boots,12,Cordelia Chamberlain,Sword
Isolde Redcliffe,Leather Boots,14,Eleanor Stratton,Shield
Septimus Channing,Shield,18,Remus Merrick,Leather Boots
Marcus Addington,Leather Boots,7,Lysandra Devereux,Shield
Theron Ellis,Leather Boots,8,Cyprian Sinclair,Shield
Elaine Hartley,Sword,12,Lancelot Fitzgerald,Leather Boots
Lucinda Fairfax,Shield,9,Evangeline Winslow,Sword
Guinevere Huntington,Sword,6,Lucius Sheffield,Leather Boots
Valerius Marlowe,Leather Boots,17,Felix Gresham,Sword
Lucius Ashbourne,Shield,4,Eleanor Harper,Sword
Lucius Thornton,Sword,24,Carl Hartley,Leather Boots
Quintus Stratton,Shield,6,Euphemia Stratford,Leather Boots
Augustus Bradbury,Sword,11,Galen Devereux,Shield
Julius Windsor,Shield,10,Cassian Pendleton,Leather Boots
Aurelie Wentworth,Sword,13,Titania Hollingsworth,Shield
Quintus Westminster,Leather Boots,4,Corin Chamberlain,Shield
Augustus Whitaker,Leather Boots,4,Ginevra Pendleton,Sword
Aurelie Faraday,Sword,3,Felix Addington,Leather Boots
Cassius Harper,Shield,4,Seraphina Chatham,Leather Boots
Gwendolyn Stratton,Sword,17,Caius Warwick,Shield
Valentin Winthrop,Shield,1,Valerius Wycliffe,Sword
Evangeline Redcliffe,Shield,1,Cressida Chatham,Sword
Augustus Westcott,Shield,11,Aveline Beauchamp,Sword
Elara Hawthorne,Shield,15,Helena Addington,Leather Boots
Augustus Chamberlain,Leather Boots,11,Aurelian Addington,Sword
Thaddeus Blackwood,Leather Boots,7,Caius Winchester,Sword
Ambrose Wellington,Leather Boots,8,Artemis Clifford,Shield
Cressida Davenport,Leather Boots,17,Elaine Whitaker,Shield
Tiberius Clayton,Leather Boots,13,Cornelius Farleigh,Sword
Giselle Bramblecroft,Sword,13,Galen Somerset,Shield
Ginevra Lancaster,Leather Boots,7,Isolde Bradbury,Shield
Cassius Hazelmere,Leather Boots,28,Giselle Marlowe,Sword
Lyra Davenport,Sword,14,Perseus Westcott,Leather Boots
Morgana Wentworth,Sword,28,Cressida Donovan,Shield
Isadora Carlton,Leather Boots,7,Elowen Ashbourne,Sword
Cornelius Thornton,Leather Boots,1,Briallen Stanhope,Sword
Cassius Carlyle,Shield,17,Lysandra Winchester,Sword
Helena Chadwell,Shield,4,Aurelia Windsor,Leather Boots
Cyprian Ashbourne,Sword,16,Valentin Harrington,Shield
Lancelot Fairchild,Shield,10,Rowan Chamberlain,Leather Boots
Marcus Witherspoon,Shield,20,Leocadia Sheffield,Leather Boots
Corbin Westbury,Shield,4,Lucian Winslow,Sword
Augustus Bramblecroft,Sword,19,Artemis Chaucer,Shield
Marcellus Hazelmere,Shield,14,Junia Sanderson,Leather Boots
Lucius Fairchild,Sword,34,Marcellus Pendleton,Leather Boots
Briallen Marston,Leather Boots,13,Cassius Sanderson,Shield
Lancelot Addington,Sword,21,Aurelius Beauchamp,Shield
Julius Hampton,Shield,1,Corin Pendragon,Leather Boots
Guinevere Windsor,Shield,21,Aveline Dunstable,Sword
Lysander Westminster,Shield,6,Rowena Thornton,Sword
Cedric Chatham,Sword,5,Rosamund Sinclair,Shield
Rowena Beauchamp,Sword,11,Cordelia Witherspoon,Leather Boots
Remus Marlowe,Shield,10,Caius Dunstable,Leather Boots
Lucian Claybourne,Sword,22,Severus Arundel,Shield
Orlando Withers,Shield,8,Marcellus Monroe,Leather Boots
Severus Somerset,Shield,8,Cedric Arundel,Sword
Cassius Chaucer,Leather Boots,10,Artemis Last Name,Sword
Althea Hazelmere,Shield,5,Daphne Windsor,Leather Boots
Orlando Montgomery,Leather Boots,14,Thaddeus Ashbourne,Shield
Morgana Dunstable,Sword,12,Valerius Whitfield,Shield
Leander Hastings,Sword,9,Isolde Pendragon,Leather Boots
Seraphina Carlton,Sword,1,Maximus Westcott,Leather Boots
Leocadia Redcliffe,Leather Boots,4,Lancelot Wentworth,Sword
Ariadne Sheffield,Sword,9,Lucius Monroe,Shield
Gwendolyn Pendleton,Shield,7,Elara Carleton,Sword
Rosamund Carleton,Leather Boots,5,Maximus Marlowe,Shield
Cordelia Bellingham,Sword,8,Leander Manning,Shield
Severus Ellis,Shield,4,Clementine Stanhope,Leather Boots
Valentin Stratford,Shield,7,Guinevere Wellford,Sword
Aurelia Devereux,Leather Boots,2,Thaddeus Arundel,Shield
Euphemia Langford,Leather Boots,8,Cordelia Standish,Shield
Giselle Sanderson,Shield,9,Daphne Redmond,Sword
Rowan Westbury,Leather Boots,5,Severus Devereux,Shield
Percival Mortimer,Sword,14,Amara Langdon,Shield
Galen Ashbourne,Leather Boots,5,Rosamund Westcott,Shield
Thaddeus Donovan,Leather Boots,5,Caius Bellingham,Shield
Augustus Bellingham,Shield,16,Valentin Forrester,Leather Boots
Perseus Thornton,Leather Boots,10,Corin Marston,Sword
Arabella Chamberlain,Shield,11,Caius Drake,Sword
Gawain Holloway,Leather Boots,15,Isolde Fitzwilliam,Shield
First Name Chadwick,Shield,5,Briallen Wellford,Sword
Ambrose Fitzwilliam,Leather Boots,10,Lucinda Bramblecroft,Shield
Octavius Merrick,Shield,5,Briallen Kingsley,Leather Boots
Eloise Cromwell,Sword,21,Maximus Ellis,Shield
Cyprian Bramblecroft,Shield,15,Galen Chatham,Sword
Aurelius Clayton,Leather Boots,6,Corin Harper,Sword
Guinevere Hollingsworth,Sword,3,Benedict Cromwell,Shield
Morgana Montgomery,Leather Boots,17,Eloise Wentworth,Sword
Lyra Lancaster,Sword,6,Leocadia Langford,Shield
Julius Blackburn,Sword,7,Felix Channing,Shield
Lysandra Whitmore,Leather Boots,18,Althea Windsor,Shield
Seraphina Harrington,Leather Boots,27,Guinevere Arundel,Sword
Felix Whitfield,Shield,14,Septimus Fitzwilliam,Sword
Orlando Faraday,Leather Boots,2,Cyprian Fitzgerald,Shield
Cressida Last Name,Shield,3,Guinevere Rutherford,Sword
Cornelius Somerset,Leather Boots,16,Rosamund Blackwood,Sword
Lysandra Devereux,Shield,27,Caius Holloway,Sword
Leon Carlton,Leather Boots,4,Corbin Clifford,Shield
Cyprian Stratton,Sword,9,Leocadia Addington,Shield
Hadrian Wentworth,Shield,1,Helena Witherspoon,Sword
Cedric Winchester,Leather Boots,7,Aurelia Ellis,Shield
Aveline Huntington,Sword,16,Giselle Fairchild,Shield
Aurelie Fitzwilliam,Leather Boots,4,Hadrian Langford,Sword
Daphne Warwick,Leather Boots,6,Cassius Chadwick,Shield
Lancelot Carlyle,Sword,5,Lysandra Harrow,Shield
Marcus Holloway,Leather Boots,17,Thaddeus Harrington,Sword
Aurelia Redcliffe,Shield,6,Augustus Pendleton,Leather Boots
Daphne Clifford,Leather Boots,10,Rowena Pendleton,Shield
Cassius Withers,Shield,1,Cassius Whitmore,Sword
Aurelius Harrow,Leather Boots,2,Quintus Addington,Sword
Leocadia Winslow,Leather Boots,10,Helena Faraday,Sword
Morgana Langley,Shield,8,Titania Fairfax,Leather Boots
Tiberius Winthrop,Leather Boots,2,Clementine Blackwell,Shield
Valentin Sinclair,Shield,11,Helena Westbury,Sword
Aurelian Huntington,Leather Boots,22,Ambrose Winthrop,Shield
Hadrian Stratford,Sword,14,Gwendolyn Lancaster,Leather Boots
Elara Harrow,Shield,4,Gwendolyn Mortimer,Sword
Aurelius Blackwell,Shield,14,Guinevere Wycliffe,Sword
Cornelius Huntington,Sword,28,Seraphina Last Name,Leather Boots
Valentin Beauchamp,Leather Boots,5,Hadrian Hollingsworth,Shield
Ginevra Westminster,Sword,1,Perseus Langdon,Shield
Hadrian Merrick,Shield,4,Carl Beauchamp,Leather Boots
Thaddeus Ellis,Leather Boots,7,Valerius Fitzgerald,Shield
Ginevra Winslow,Shield,22,Septimus Beauchamp,Sword
Lucinda Sanderson,Shield,8,Seraphina Harrow,Sword
Cassius Beauchamp,Leather Boots,18,Cassius Wellford,Shield
Valerius Manning,Shield,15,Guinevere Fitzgerald,Leather Boots
Corbin Winslow,Sword,2,Titus Fairchild,Leather Boots
Quintus Windsor,Leather Boots,1,Caius Monroe,Sword
Lucius Drake,Sword,9,Rosalind Hampton,Leather Boots
Constantine Beaumont,Leather Boots,10,Artemis Chaucer,Sword
Cornelius Montgomery,Sword,16,Artemis Fairfax,Shield
Briallen Chadwell,Leather Boots,9,Felix Channing,Shield
Cedric Pendragon,Shield,6,Caius Wellington,Leather Boots
Seraphina Manning,Sword,4,Octavius Marston,Leather Boots
Helena Fitzgerald,Leather Boots,12,Guinevere Fairchild,Shield
Althea Davenport,Leather Boots,8,Valerius Westcott,Sword
Arabella Dunstable,Sword,19,Remus Standish,Leather Boots
Remus Carlyle,Leather Boots,15,Thaddeus Devereux,Sword
Octavius Sheffield,Shield,19,Julius Bramblecroft,Leather Boots
Eloise Addington,Shield,4,Helena Langdon,Sword
Clementine Westminster,Sword,16,Titus Farleigh,Shield
Hadrian Claybourne,Sword,2,Seraphina Marlowe,Leather Boots
Daphne Cromwell,Sword,7,Lucinda Blackwood,Leather Boots
Julius Dunstable,Leather Boots,10,Lucius Huntington,Shield
Guinevere Winthrop,Leather Boots,23,Evangeline Beaumont,Shield
Isolde Claybourne,Sword,14,Junia Langley,Shield
Althea Clifford,Leather Boots,3,Rosamund Marlowe,Sword
Clementine Devereux,Sword,1,Briallen Chaucer,Shield
Briallen Manning,Leather Boots,13,Aurelie Cromwell,Shield
Artemis Winslow,Leather Boots,13,Helena Bradford,Shield
Corin Bellingham,Leather Boots,3,Lysandra Standish,Sword
Althea Carlton,Leather Boots,8,Cassius Donovan,Shield
Thaddeus Monroe,Sword,12,Althea Bradbury,Leather Boots
Aurelia Carlton,Sword,4,Lysandra Faraday,Leather Boots
Cassia Lancaster,Leather Boots,12,Seraphina Huntington,Shield
Cassian Mortimer,Shield,11,Guinevere Arundel,Sword
Cassius Bellingham,Leather Boots,1,Clementine Meriwether,Sword
Cedric Addington,Shield,1,Maximus Carlyle,Sword
Ginevra Langley,Leather Boots,9,Gaius Clifford,Shield
Thaddeus Redmond,Leather Boots,10,Julius Lancaster,Shield
Lucian Westminster,Shield,7,Lucinda Faraday,Sword
Lucinda Beaumont,Leather Boots,21,Hadrian Kingsley,Shield
Cedric Davenport,Sword,20,Aurelia Hazelmere,Leather Boots
Arabella Farleigh,Leather Boots,11,Junia Ellis,Sword
Junia Lancaster,Leather Boots,8,Elaine Sinclair,Shield
Beatrice Covington,Leather Boots,14,Elaine Somerset,Shield
Remus Stanhope,Shield,8,Augustus Carlton,Leather Boots
Galen Devereux,Leather Boots,10,Lucinda Standish,Sword
Arabella Whitaker,Shield,26,Septimus Langley,Leather Boots
Cordelia Beauchamp,Shield,12,Orlando Langdon,Leather Boots
Isolde Winchester,Sword,7,Felix Hastings,Leather Boots
Octavian Whitfield,Sword,3,Seraphina Fitzgerald,Shield
Tiberius Pendragon,Leather Boots,10,Perseus Dunstable,Sword
Isolde Carlisle,Sword,19,Caius Bradbury,Leather Boots
Eleanor Harrington,Shield,6,Morgana Bradbury,Leather Boots
Cyprian Llewellyn,Sword,1,Percival Chaucer,Leather Boots
Cassius Chaucer,Sword,8,Isadora Covington,Leather Boots
Guinevere Hollingsworth,Shield,34,Seraphina Chaucer,Sword
Cassia Montgomery,Shield,8,Helena Carleton,Sword
Ariadne Claybourne,Shield,11,Constantine Stratford,Sword
Titania Lancaster,Leather Boots,14,Benedict Devereux,Sword
Elowen Ellis,Leather Boots,8,Orlando Gresham,Shield
Leander Fairfax,Shield,13,Briallen Forrester,Leather Boots
Cyprian Winslow,Leather Boots,15,Seraphina Dunstable,Shield
Elara Stratford,Leather Boots,6,Severus Hastings,Shield
Rosamund Donovan,Leather Boots,8,Remus Stanhope,Shield
Elowen Llewellyn,Leather Boots,6,Seraphina Rutherford,Shield
Amara Bellingham,Shield,21,Carl Somerset,Sword
Augustus Westbury,Leather Boots,12,Guinevere Devereux,Shield
Rowan Fairchild,Leather Boots,24,Isolde Chaucer,Sword
Aurelia Barlow,Shield,2,Beatrice Winslow,Sword
Junia Fitzwilliam,Shield,8,Maximus Devereux,Sword
Percival Pembroke,Shield,1,Isolde Chamberlain,Sword
Cordelia Blackburn,Shield,13,Cornelius Wellington,Sword
Elara Llewellyn,Sword,18,Corin Chatham,Leather Boots
Eloise Windsor,Leather Boots,2,Giselle Whitmore,Shield
Lancelot Pembroke,Leather Boots,9,Cornelius Kingsley,Shield
Augustus Merrick,Shield,6,Caius Wellford,Sword
Clementine Dunstable,Shield,16,Giselle Wellford,Leather Boots
Augustus Harper,Leather Boots,14,Guinevere Blackwood,Shield
Septimus Whitaker,Shield,5,Eleanor Fitzgerald,Sword
Corin Drake,Sword,3,Eleanor Winslow,Leather Boots
Aveline Wycliffe,Leather Boots,14,Benedict Bramblecroft,Shield
Lysandra Chamberlain,Leather Boots,8,Aurelie Wellington,Sword
Helena Claybourne,Shield,2,Beatrice Blackburn,Sword
Gaius Dunstable,Sword,14,Leocadia Redmond,Leather Boots
Benedict Holloway,Sword,20,Augustus Hartley,Leather Boots
Cassia Marston,Sword,7,Cassia Stratford,Shield
Gawain Carlton,Sword,6,Elowen Chadwell,Shield
Euphemia Fitzgerald,Shield,11,Evangeline Carleton,Leather Boots
Septimus Warwick,Shield,4,Caius Last Name,Leather Boots
Valerius Hawthorne,Sword,23,Rowena Langdon,Shield
Constantine Devereux,Sword,18,Octavian Llewellyn,Shield
Isolde Marston,Leather Boots,1,Orlando Monroe,Sword
Ariadne Drake,Shield,4,Marcus Huntington,Sword
Remus Dunstan,Shield,5,Briallen Monroe,Sword
Leander Arundel,Leather Boots,13,Hadrian Devereux,Sword
Theron Harrow,Shield,11,Valerius Windsor,Sword
Cassius Whitaker,Shield,14,Althea Whitaker,Sword
Galen Farleigh,Leather Boots,6,Orlando Marlowe,Sword
Gwendolyn Harper,Shield,17,Guinevere Hartley,Leather Boots
Aurelia Arundel,Leather Boots,12,Althea Langley,Sword
Perseus Montgomery,Leather Boots,16,Corbin Donovan,Shield
Cornelius Westbury,Sword,8,Arabella Mortimer,Shield
Percival Llewellyn,Leather Boots,13,Gawain Chadwick,Sword
Seraphina Fairchild,Leather Boots,22,Cassius Huntington,Shield
Cedric Westcott,Leather Boots,1,Leander Blackwood,Shield
Octavius Pendleton,Shield,11,Cassia Wellford,Sword
Quintus Pembroke,Leather Boots,8,Felix Lancaster,Shield
Elowen Winchester,Sword,23,Cordelia Stratton,Shield
Augustus Somerset,Sword,2,Lucian Devereux,Leather Boots
Thaddeus Manning,Leather Boots,4,Cornelius Ashbourne,Shield
Elara Bellingham,Sword,11,Guinevere Somerset,Shield
Elowen Sanderson,Sword,14,Althea Monroe,Shield
Rowan Barlow,Shield,10,Severus Farleigh,Sword
Artemis Bannister,Leather Boots,5,Cassius Chatham,Sword
Giselle Withers,Sword,3,Gawain Bradford,Leather Boots
Cordelia Clifford,Leather Boots,2,Briallen Stratford,Sword
Valentin Sanderson,Leather Boots,13,Orlando Hazelmere,Sword
Isolde Westcott,Shield,9,Isadora Huntington,Leather Boots
Clementine Withers,Sword,3,Isadora Wellington,Shield
Guinevere Chaucer,Leather Boots,22,Orlando Hazelmere,Shield
Hadrian Gresham,Sword,15,Leander Arundel,Shield
Caius Huntington,Sword,1,Amara Blackwood,Leather Boots
Octavian Sinclair,Sword,15,Cressida Ashbourne,Leather Boots
Lavinia Devereux,Leather Boots,18,Aurelian Barlow,Sword
Cyprian Somerset,Leather Boots,34,Cassius Westcott,Shield
Carl Bradbury,Sword,12,Lancelot Wellington,Shield
Helena Wellington,Shield,1,Beatrice Standish,Leather Boots
Amara Pembroke,Sword,4,Cyprian Standish,Leather Boots
Rosalind Wellford,Shield,22,Valerius Davenport,Sword
Isolde Wentworth,Shield,7,Perseus Harper,Leather Boots
Isolde Blackwood,Leather Boots,4,Severus Pendragon,Sword
Artemis Fitzwilliam,Sword,19,Severus Farleigh,Leather Boots
Corbin Carlton,Leather Boots,3,Helena Devereux,Sword
Aveline Addington,Sword,4,Gawain Clifford,Leather Boots
Octavian Wycliffe,Sword,8,Septimus Pendragon,Leather Boots
Marcus Westminster,Shield,7,Aurelie Hollingsworth,Leather Boots
Cassius Redmond,Sword,10,Constantine Merrick,Shield
Aurelie Winthrop,Leather Boots,29,Isolde Bramblecroft,Sword
Lyra Harrow,Leather Boots,22,Aveline Harrow,Shield
Junia Stanhope,Shield,6,Briallen Llewellyn,Sword
Titania Gresham,Shield,8,Leander Sheffield,Leather Boots
Tiberius Cromwell,Shield,12,Rowan Witherspoon,Sword
Cressida Sanderson,Leather Boots,12,Cordelia Hastings,Shield
Gawain Chadwick,Sword,21,First Name Pendragon,Leather Boots
Cyprian Holloway,Shield,16,Morgana Winslow,Sword
Marcus Bramblecroft,Sword,6,Valerius Whitfield,Leather Boots
Morgana Chatham,Shield,4,Seraphina Wellford,Sword
Artemis Ellis,Sword,30,Cordelia Chamberlain,Shield
Quintus Westcott,Shield,13,Leocadia Thornton,Leather Boots
Guinevere Fairfax,Sword,22,Theron Winslow,Shield
Octavian Drake,Leather Boots,8,Ambrose Hampton,Shield
Daphne Holloway,Sword,2,Evangeline Stratton,Shield
Clementine Blackwell,Leather Boots,2,Marcellus Last Name,Sword
Lysandra Drake,Leather Boots,1,Thaddeus Bradford,Shield
Lyra Stanhope,Sword,12,Arabella Carlyle,Shield
Caius Hastings,Sword,7,Isadora Hartley,Leather Boots
Daphne Carlyle,Leather Boots,20,Elaine Marston,Shield
Hadrian Cromwell,Sword,10,Lysander Mortimer,Leather Boots
Carl Westcott,Shield,1,Cornelius Beauchamp,Sword
